지역,일시,발전량,년,월,평균 기온,평균 이슬점온도,평균 상대습도,가조시간,합계 일조 시간,일강수량,평균 풍속,계절
강원도,2017-06-18,671382.8720000001,2017,6,22.65,14.12142857142857,64.16428571428571,14.778571428571428,10.8,0.6071428571428571,1.2642857142857142,여름
강원도,2017-06-19,638052.16,2017,6,23.06428571428572,13.835714285714284,61.785714285714285,14.778571428571428,10.4,0.0,1.2214285714285715,여름
강원도,2017-06-20,527316.983,2017,6,22.97142857142857,13.785714285714286,61.15714285714285,14.771428571428572,8.842857142857143,0.0071428571428571,1.2,여름
강원도,2017-06-21,506016.258,2017,6,22.764285714285712,14.564285714285717,63.15714285714286,14.771428571428572,6.614285714285714,0.7285714285714285,1.657142857142857,여름
강원도,2017-06-22,661514.342,2017,6,23.05,13.964285714285714,60.721428571428575,14.778571428571428,11.164285714285716,0.0,1.4,여름
강원도,2017-06-23,581549.569,2017,6,23.52142857142857,15.0,64.04285714285714,14.785714285714286,10.292857142857144,0.0428571428571428,1.4357142857142855,여름
강원도,2017-06-24,315400.72500000003,2017,6,21.785714285714285,16.642857142857142,75.63571428571429,14.771428571428572,1.1142857142857143,8.407142857142857,1.085714285714286,여름
강원도,2017-06-25,351089.717,2017,6,20.67142857142857,17.09285714285714,81.72857142857143,14.771428571428572,1.692857142857143,4.9,1.085714285714286,여름
강원도,2017-06-26,401479.078,2017,6,21.02857142857143,16.635714285714286,78.19285714285715,14.771428571428572,2.3642857142857143,2.792857142857143,1.5,여름
강원도,2017-06-27,646860.346,2017,6,22.24285714285714,17.142857142857142,76.45714285714287,14.771428571428572,8.357142857142858,5.285714285714286,1.3214285714285714,여름
강원도,2017-06-28,560647.38,2017,6,23.135714285714283,18.428571428571427,77.95,14.764285714285714,6.721428571428571,5.607142857142857,1.3214285714285714,여름
강원도,2017-06-29,508639.011,2017,6,23.7,18.392857142857142,75.44285714285715,14.757142857142856,7.564285714285715,5.214285714285714,1.1857142857142855,여름
강원도,2017-06-30,552919.323,2017,6,25.092857142857145,17.057142857142857,64.14285714285714,14.735714285714286,8.571428571428571,0.0,1.6142857142857143,여름
