,항공사,출발시간,도착시간,비행시간,항공금액(원),할인꿀팁,시간대,카드사
176,아시아나항공,14:25,15:30,01시간 05분,87000,삼성카드 결제시 3% 캐시백,14,삼성카드 
177,아시아나항공,14:25,15:30,01시간 05분,147000,삼성카드 결제시 3% 캐시백,14,삼성카드 
178,아시아나항공,14:25,15:30,01시간 05분,204000,삼성카드 결제시 3% 캐시백,14,삼성카드 
179,티웨이항공,14:35,15:45,01시간 10분,55900,하나 신용/체크카드 결제시 3% 캐시백,14,하나 신용/체크카드 
180,티웨이항공,14:35,15:45,01시간 10분,132200,KB국민카드 결제시 4% 청구할인,14,KB국민카드 
181,진에어,14:40,15:55,01시간 15분,50900,"네이버페이 결제시 1%+1,500원 적립",14,네이버페이 
182,제주항공,14:40,15:50,01시간 10분,52900,"네이버페이 결제시 1%+1,500원 적립",14,네이버페이 
183,진에어,14:40,15:55,01시간 15분,55900,삼성카드 결제시 3.8% 캐시백,14,삼성카드 
184,제주항공,14:40,15:50,01시간 10분,133500,삼성카드 결제시 3% 캐시백,14,삼성카드 
185,진에어,14:40,15:55,01시간 15분,134000,삼성카드 결제시 3.8% 캐시백,14,삼성카드 
186,대한항공,14:50,16:00,01시간 10분,58000,삼성카드 결제시 3% 캐시백,14,삼성카드 
187,아시아나항공,14:55,16:05,01시간 10분,54000,"네이버페이 결제시 1%+1,500원 적립",14,네이버페이 
188,대한항공,14:55,16:00,01시간 05분,58000,삼성카드 결제시 3% 캐시백,14,삼성카드 
189,아시아나항공,14:55,16:05,01시간 10분,87000,삼성카드 결제시 3% 캐시백,14,삼성카드 
190,아시아나항공,14:55,16:05,01시간 10분,147000,삼성카드 결제시 3% 캐시백,14,삼성카드 
191,아시아나항공,14:55,16:05,01시간 10분,204000,삼성카드 결제시 3% 캐시백,14,삼성카드 
192,에어부산,15:05,16:15,01시간 10분,52440,삼성카드 결제시 4% 캐시백,15,삼성카드 
193,아시아나항공,15:05,16:15,01시간 10분,54000,"네이버페이 결제시 1%+1,500원 적립",15,네이버페이 
194,아시아나항공,15:05,16:15,01시간 10분,87000,삼성카드 결제시 3% 캐시백,15,삼성카드 
195,에어부산,15:05,16:15,01시간 10분,133000,롯데카드 결제시 4% 캐시백,15,롯데카드 
196,아시아나항공,15:05,16:15,01시간 10분,147000,삼성카드 결제시 3% 캐시백,15,삼성카드 
197,제주항공,15:10,16:20,01시간 10분,52900,"네이버페이 결제시 1%+1,500원 적립",15,네이버페이 
198,대한항공,15:10,16:20,01시간 10분,58000,삼성카드 결제시 3% 캐시백,15,삼성카드 
199,제주항공,15:10,16:20,01시간 10분,133500,삼성카드 결제시 3% 캐시백,15,삼성카드 
200,제주항공,15:10,16:20,01시간 10분,184500,삼성카드 결제시 3% 캐시백,15,삼성카드 
201,티웨이항공,15:15,16:25,01시간 10분,49900,하나 신용/체크카드 결제시 3% 캐시백,15,하나 신용/체크카드 
202,티웨이항공,15:15,16:25,01시간 10분,132200,KB국민카드 결제시 4% 청구할인,15,KB국민카드 
203,제주항공,15:30,16:40,01시간 10분,48900,"네이버페이 결제시 1%+1,500원 적립",15,네이버페이 
204,제주항공,15:30,16:40,01시간 10분,133500,삼성카드 결제시 3% 캐시백,15,삼성카드 
205,대한항공,15:35,16:45,01시간 10분,58000,삼성카드 결제시 3% 캐시백,15,삼성카드 
206,제주항공,15:50,17:05,01시간 15분,48900,"네이버페이 결제시 1%+1,500원 적립",15,네이버페이 
207,진에어,15:50,17:00,01시간 10분,49900,"네이버페이 결제시 1%+1,500원 적립",15,네이버페이 
208,진에어,15:50,17:00,01시간 10분,61900,삼성카드 결제시 3.8% 캐시백,15,삼성카드 
209,제주항공,15:50,17:05,01시간 15분,133500,삼성카드 결제시 3% 캐시백,15,삼성카드 
210,진에어,15:50,17:00,01시간 10분,134000,삼성카드 결제시 3.8% 캐시백,15,삼성카드 
211,아시아나항공,15:55,17:10,01시간 15분,49000,"네이버페이 결제시 1%+1,500원 적립",15,네이버페이 
212,아시아나항공,15:55,17:10,01시간 15분,87000,삼성카드 결제시 3% 캐시백,15,삼성카드 
213,아시아나항공,15:55,17:10,01시간 15분,147000,삼성카드 결제시 3% 캐시백,15,삼성카드 
214,대한항공,16:10,17:20,01시간 10분,58000,삼성카드 결제시 3% 캐시백,16,삼성카드 
215,진에어,16:25,17:35,01시간 10분,49900,"네이버페이 결제시 1%+1,500원 적립",16,네이버페이 
216,대한항공,16:25,17:35,01시간 10분,52000,삼성카드 결제시 3% 캐시백,16,삼성카드 
217,진에어,16:25,17:35,01시간 10분,58900,삼성카드 결제시 3.8% 캐시백,16,삼성카드 
218,진에어,16:25,17:35,01시간 10분,134000,삼성카드 결제시 3.8% 캐시백,16,삼성카드 
219,대한항공,16:25,17:35,01시간 10분,204000,삼성카드 결제시 3% 캐시백,16,삼성카드 
